# mass	x	E_t(x)
0	0.150218	-0.215017
0.02	0.151811	-0.244615
0.04	0.153454	-0.27453
0.06	0.155154	-0.304773
0.08	0.156915	-0.335354
0.1	0.158742	-0.366288
0.12	0.160645	-0.397586
0.14	0.162631	-0.429266
0.16	0.164711	-0.461344
0.18	0.454912	-0.535292
0.2	0.456186	-0.624582
0.22	0.457327	-0.714108
0.24	0.458358	-0.803847
0.26	0.459295	-0.893778
0.28	0.460154	-0.983885
0.3	0.460944	-1.07415
0.32	0.461675	-1.16457
0.34	0.462354	-1.25513
0.36	0.462988	-1.34581
0.38	0.463581	-1.43662
0.4	0.464137	-1.52753
0.42	0.464661	-1.61856
0.44	0.465156	-1.70968
0.46	0.465624	-1.8009
0.48	0.466068	-1.8922
